symbol,date,price,,,,,
Data Scientist,Jan 2000,39.81,,,,,
Data Scientist,Feb 2000,36.35,,,,,
Data Scientist,Mar 2000,43.22,,,,,
Data Scientist,Apr 2000,28.37,,,,,
Data Scientist,May 2000,25.45,,,,,
Data Scientist,Jun 2000,32.54,,,,,
Data Scientist,Jul 2000,28.4,,,,,
Data Scientist,Aug 2000,28.4,,,,,
Data Scientist,Sep 2000,24.53,,,,,
Data Scientist,Oct 2000,28.02,,,,,
Data Scientist,Nov 2000,23.34,,,,,
Data Scientist,Dec 2000,17.65,,,,,
Data Scientist,Jan 2001,24.84,,,,,
Data Scientist,Feb 2001,24,,,,,
Data Scientist,Mar 2001,22.25,,,,,
Data Scientist,Apr 2001,27.56,,,,,
Data Scientist,May 2001,28.14,,,,,
Data Scientist,Jun 2001,29.7,,,,,
Data Scientist,Jul 2001,26.93,,,,,
Data Scientist,Aug 2001,23.21,,,,,
Data Scientist,Sep 2001,20.82,,,,,
Data Scientist,Oct 2001,23.65,,,,,
Data Scientist,Nov 2001,26.12,,,,,
Data Scientist,Dec 2001,26.95,,,,,
Data Scientist,Jan 2002,25.92,,,,,
Data Scientist,Feb 2002,23.73,,,,,
Data Scientist,Mar 2002,24.53,,,,,
Data Scientist,Apr 2002,21.26,,,,,
Data Scientist,May 2002,20.71,,,,,
Data Scientist,Jun 2002,22.25,,,,,
Data Scientist,Jul 2002,19.52,,,,,
Data Scientist,Aug 2002,19.97,,,,,
Data Scientist,Sep 2002,17.79,,,,,
Data Scientist,Oct 2002,21.75,,,,,
Data Scientist,Nov 2002,23.46,,,,,
Data Scientist,Dec 2002,21.03,,,,,
Data Scientist,Jan 2003,19.31,,,,,
Data Scientist,Feb 2003,19.34,,,,,
Data Scientist,Mar 2003,19.76,,,,,
Data Scientist,Apr 2003,20.87,,,,,
Data Scientist,May 2003,20.09,,,,,
Data Scientist,Jun 2003,20.93,,,,,
Data Scientist,Jul 2003,21.56,,,,,
Data Scientist,Aug 2003,21.65,,,,,
Data Scientist,Sep 2003,22.69,,,,,
Data Scientist,Oct 2003,21.45,,,,,
